id,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
010112,4.95766,1.27791,7.02363,23.88818,-0.63845,-0.14951,0.39719,0.41218,2.5,27.5969,3.24074,69.78947,38.59744,1.65068,12.09239,32.25032,0.0,59.40118,32.08676,2.68981,-0.61115
010113,6.07034,1.72291,8.33263,22.83887,-1.05283,-0.24286,0.22998,-3.69219,2.67705,31.2211,2.68354,52.86833,30.52919,2.05455,15.0319,26.09033,21.43637,58.11964,31.04673,1.50026,-3.84333
010114,4.82198,1.13262,4.96718,8.02213,-0.50834,-0.12837,-0.43965,-2.53688,2.31916,28.4522,5.42687,35.72711,29.55357,2.54598,5.21525,3.62197,64.8574,45.60471,37.6543,1.65571,-5.2431
010221,10.24586,3.3957,19.65786,49.63518,-2.17895,-0.24572,0.07268,-1.83191,4.75085,30.80678,12.17962,67.32404,43.87842,0.77652,32.63081,1.60499,75.09372,53.02714,33.98485,1.33342,-4.14911
010222,9.76273,3.16493,18.88873,47.41628,-1.58903,-0.05792,-0.03998,-2.58372,4.51572,29.35721,12.47796,72.37716,45.93525,0.38831,31.30379,4.14304,50.15693,56.09025,32.17319,1.08726,-1.24138
010331,14.77225,5.04923,30.37687,70.86356,-2.62906,0.0252,0.64378,-0.54214,7.78196,32.15347,13.90289,81.63146,57.07476,1.2337,46.49891,12.47728,100.0,49.89529,36.69517,2.24016,-2.42644
010332,13.75224,4.52028,30.52182,68.43615,-2.88773,-0.34903,-0.27513,-1.88859,7.73663,26.03199,13.20954,86.77697,60.40542,0.21399,49.33165,30.1818,100.0,57.69566,27.77356,0.75945,-1.5523
010441,12.00254,3.92944,19.69203,55.76136,-1.95787,-0.2254,0.77961,0.7187,6.04183,36.62623,7.06949,66.58716,40.04094,1.54519,35.62376,18.64156,88.29521,55.05213,31.14215,1.72123,-3.0013
010442,13.42933,4.47562,27.79066,70.6045,-2.46898,-0.33438,-0.25822,-0.76403,6.35229,29.2517,15.21377,84.82292,59.81265,0.47663,41.01859,7.1736,99.94578,47.19285,41.92175,2.54494,-2.9367
020101,15.65366,5.93309,35.41465,72.3526,-0.12629,0.43179,-1.48126,-4.19767,9.93567,26.57327,19.61794,89.1101,67.01157,0.28205,53.31056,24.15802,73.78307,58.16612,27.69583,0.84051,-0.93226
