id,name,inhabitants,status_index,status_index_klasse,dynamik_index,dynamik_index_klasse,status_dynamik_index,status_dynamik_index_klasse
01011101,Stülerstraße,3114.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011103,Lützowstraße,5130.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011104,Körnerstraße,4403.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
01011105,Nördlicher Landwehrkanal,1097.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011201,Wilhelmstraße,2055.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011202,Unter den Linden Nord,498.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011203,Unter den Linden Süd,932.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011204,Leipziger Straße,6424.0,2.0,mittel,-,negativ,2-,"Status mittel, Dynamik negativ"
01011301,Charitéviertel,5597.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011302,Oranienburger Straße,12137.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011303,Alexanderplatzviertel,8608.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011304,Karl-Marx-Allee,8424.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011305,Heine-Viertel West,7075.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
01011306,Heine-Viertel Ost,8616.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01011401,Invalidenstraße,15235.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01011402,Arkonaplatz,12666.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil"
01022101,Huttenkiez,3390.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01022102,Beusselkiez,6255.0,3.0,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv"
01022104,Emdener Straße,17806.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022105,Zwinglistraße,5105.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig, Dynamik stabil"
01022106,Elberfelder Straße,11731.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
01022201,Stephankiez,10469.0,2.0,mittel,+,positiv,2+,"Status mittel, Dynamik positiv"
01022202,Heidestraße,1448.0,3.0,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv"
01022203,Lübecker Straße,6773.0,3.0,niedrig,+,positiv,3+,"Status niedrig, Dynamik positiv"
01022204,Thomasiusstraße,5826.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil"
