id,name,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01011101,Stülerstraße,3114.0,5.77634,1.38632,8.22094,21.26697,-0.60664,-0.8359,0.78066,2.24523
01011102,Großer Tiergarten,194.0,0,0,0,0,0,0,0,0
01011103,Lützowstraße,5130.0,7.81715,2.10982,18.32359,41.55172,-1.49242,-1.0028,-0.19032,2.50579
01011104,Körnerstraße,4403.0,7.53957,2.2446,22.05315,49.68652,-2.22757,-1.37765,-2.55713,-9.30126
01011105,Nördlicher Landwehrkanal,1097.0,2.70936,0.73892,2.00547,4.25532,0.37775,0.22078,-2.01059,-3.60985
01011201,Wilhelmstraße,2055.0,5.07099,1.48749,8.27251,28.09524,-1.35102,-0.4129,-0.53404,-1.72128
01011202,Unter den Linden Nord,498.0,2.63158,0,1.20482,0,-1.31208,-0.84507,0.78109,0
01011203,Unter den Linden Süd,932.0,3.12966,1.19225,3.32618,8.51064,-0.60285,0.25912,0.16459,0.93488
01011204,Leipziger Straße,6424.0,5.28933,1.33363,6.75592,25.14395,0.60537,0.20042,-0.59551,1.4997
01011301,Charitéviertel,5597.0,3.08698,0.72105,3.30534,4.7546,0.10684,0.00785,-0.48903,-2.53906
01011302,Oranienburger Straße,12137.0,4.79616,1.05307,6.41839,12.06897,-0.52897,-0.10366,-0.48673,-1.66364
01011303,Alexanderplatzviertel,8608.0,6.36421,1.74858,9.09619,22.13001,-0.63765,-0.25918,-0.26384,-1.60659
01011304,Karl-Marx-Allee,8424.0,7.61029,2.57161,12.84425,39.90268,0.04836,0.05096,0.45145,-0.04611
01011305,Heine-Viertel West,7075.0,4.85307,1.26892,7.56184,25.32468,-1.43672,-0.56454,-0.37467,-5.98846
01011306,Heine-Viertel Ost,8616.0,6.53074,1.60879,8.71634,27.60664,-0.61211,-0.75439,0.37983,2.47223
01011401,Invalidenstraße,15235.0,4.35319,0.91343,5.18543,8.44363,-0.62728,-0.25845,-0.25447,-0.51937
01011402,Arkonaplatz,12666.0,4.46366,0.81519,3.93179,5.09014,-0.17354,-0.27165,-0.48401,-1.15986
01022101,Huttenkiez,3390.0,11.27683,3.96508,23.33333,64.30518,-1.34983,0.02899,0.22703,-6.74745
01022102,Beusselkiez,6255.0,11.68016,3.70445,24.8761,59.94513,-1.88026,-0.85185,-1.43609,-0.05487
01022103,Westhafen,253.0,0,0,0,0,0,0,0,0
01022104,Emdener Straße,17806.0,9.97042,3.24652,19.01045,48.67482,-0.12257,-0.2917,-0.69814,0.03869
01022105,Zwinglistraße,5105.0,9.96956,2.76509,24.85798,65.7188,-1.51153,-0.72452,-0.72008,0.52796
01022106,Elberfelder Straße,11731.0,6.65256,1.68077,10.98798,19.98597,-0.47872,-0.55087,-0.84704,-3.3959
01022201,Stephankiez,10469.0,8.56936,2.20562,17.68077,42.5343,-1.72476,-0.88639,-2.07923,-8.65617
01022202,Heidestraße,1448.0,13.41108,3.30418,28.45304,50.9434,0.64716,-1.20638,-6.19844,-15.16399
01022203,Lübecker Straße,6773.0,10.72988,3.01518,25.51307,55.16888,-1.88465,-1.43826,-0.66083,1.57772
01022204,Thomasiusstraße,5826.0,6.77358,1.77118,11.27703,21.35008,-1.17958,-0.9124,-0.59543,-2.42842
01022205,Zillesiedlung,3207.0,9.58333,2.40741,25.13252,45.11719,-1.11686,-1.1922,-2.68334,-8.7446
01022206,Lüneburger Straße,3060.0,6.61667,1.45567,13.16993,25.89744,-1.72041,-1.20319,0.66993,-3.89531
01022207,Hansaviertel,5477.0,5.72257,1.52954,9.51251,25.56054,-0.79331,-0.38215,-0.12223,-0.91649
01033101,Soldiner Straße,25947.0,13.24984,4.18333,31.79173,68.87909,-2.19265,-1.17779,0.4585,0.27982
01033102,Gesundbrunnen,11586.0,11.22627,2.91138,28.52581,64.11536,-2.07193,-1.4519,0.28465,-1.46327
01033201,Brunnenstraße,12885.0,12.12712,3.60257,32.84439,63.00119,-1.56529,-0.81809,-0.40025,-2.50807
01033202,Humboldthain Süd,9697.0,10.85332,2.95858,23.63618,54.92193,-1.30147,-1.05141,-0.66931,-2.84031
01033203,Humboldthain Nordwest,13891.0,12.69468,3.59487,31.79757,69.16555,-2.18334,-1.35749,-0.61764,-1.29202
01044101,Rehberge,19903.0,10.82968,3.6213,20.83605,53.78624,-1.06729,-0.2566,-0.40809,-0.94775
01044102,Schillerpark,15792.0,10.40737,3.13288,18.42705,52.51497,-1.7955,-0.93474,0.98064,0.99196
01044103,Westliche Müllerstraße,8076.0,10.29069,3.1556,19.0317,52.02312,-1.6341,-0.67088,-1.18024,-1.71838
01044201,Reinickendorfer Straße,23103.0,13.65905,3.94034,32.45033,72.08862,-1.41885,-1.09585,0.3364,0.64083
01044202,Sparrplatz,16636.0,10.22493,3.36666,20.64198,57.92235,-0.72826,-0.14022,-1.61799,-2.56069
01044203,Leopoldplatz,15985.0,12.35945,3.59455,27.86988,66.22871,-1.53092,-1.18388,0.61135,0.14896
02010101,Askanischer Platz,6106.0,12.13087,4.05779,26.8752,59.5672,-0.68136,-0.78717,-2.38621,-3.05575
02010102,Mehringplatz,13047.0,14.39671,5.31691,33.65525,64.43098,-0.16738,-0.22488,-1.33034,-4.10834
02010103,Moritzplatz,15589.0,16.68983,6.13474,36.76952,72.12341,-1.15883,-0.64395,-0.79807,-1.37749
02010104,Wassertorplatz,5145.0,13.39816,4.72717,35.68513,70.5157,-2.18442,-1.09862,-1.62355,1.21385
02020201,Gleisdreieck/Entwicklungsgebiet,284.0,0,0,0,0,0,0,0,0
02020202,Rathaus Yorckstraße,5726.0,7.73729,2.63158,13.37758,24.28377,-0.48899,-0.14056,0.03244,-4.18748
02020203,Viktoriapark,10668.0,6.82891,1.85252,11.49231,24.01779,-0.93795,-0.56439,-0.50493,-1.57501
02020204,Urbanstraße,12195.0,6.9348,2.09392,12.44772,25.62674,-1.1096,-0.74964,-0.35705,-0.56543
02020205,Chamissokiez,14837.0,7.16369,2.0676,12.25989,23.94056,-0.57978,-0.34584,-0.39945,-2.1579
02020206,Graefekiez,18928.0,8.43292,2.61407,17.12278,36.33205,-0.99924,-0.51861,-0.71912,-3.31519
02030301,Oranienplatz,9216.0,12.07164,4.17431,29.10156,57.69547,-1.15381,-0.35973,-0.19376,-0.03492
02030302,Lausitzer Platz,13282.0,10.96906,3.53274,23.36245,46.30872,-0.86671,-0.3765,-0.60518,-3.99068
02030401,Reichenberger Straße,15222.0,9.20089,2.82281,18.36815,39.80687,-0.60287,-0.29201,-0.33539,-2.65215
02030402,Wrangelkiez,11273.0,8.99024,2.88346,17.53748,38.10953,-0.64254,-0.27662,-0.59371,-1.7891
02040501,Barnimkiez,5410.0,9.62245,3.14066,13.54898,42.52492,0.21467,-0.24343,-0.18129,-4.67658
02040502,Friedenstraße,7118.0,7.34475,2.12978,10.26974,30.77975,-0.29589,-0.13723,-0.07559,1.27156
02040503,Richard-Sorge-Viertel,10680.0,5.64437,1.47565,7.2191,15.07321,-0.4591,-0.24453,0.0825,-0.34692
02040701,Andreasviertel,12266.0,7.13056,2.0777,13.68824,44.24192,-0.68775,-0.41672,0.76735,0.32888
02040702,Weberwiese,10677.0,6.17209,1.5033,7.51147,14.49631,-0.55353,-0.30265,0.0352,0.06523
02040703,Wriezener Bahnhof/Entwicklungsgebiet,855.0,7.75988,2.63543,22.92398,57.14286,-0.85735,0.03022,3.29623,-3.8961
02050601,Hausburgviertel,8752.0,8.21491,2.09771,9.51782,22.31214,-0.28639,-0.39783,-0.92507,-3.06857
02050602,Samariterviertel,19631.0,7.51782,1.93368,9.61235,17.46776,-0.54982,-0.52533,-0.77872,-4.82605
02050801,Traveplatz,18811.0,7.5979,2.0434,11.50391,27.14681,-0.73652,-0.46673,-0.75812,-3.9771
02050802,Boxhagener Platz,19841.0,6.09634,1.55062,7.76675,14.26593,-0.89977,-0.43698,-0.42039,-2.53488
02050803,Stralauer Kiez,6632.0,7.29622,2.05604,10.93185,29.29448,-0.75085,-0.20245,-0.78057,-0.59244
02050804,Stralauer Halbinsel,3500.0,2.81807,0.70452,3.37143,4.44785,-0.55646,0.13417,-0.21028,-0.78194
03010101,Bucher Forst,3297.0,7.98935,2.52996,9.00819,16.55629,-1.58783,-1.08695,-0.54218,-4.18234
03010102,Buch,11207.0,10.62359,3.93689,15.92755,43.70229,-0.98237,-0.45053,0.76162,-2.95401
03010104,Lietzengraben,213.0,0,0,0,0,0,0,0,0
03020203,Blankenfelde,2069.0,6.06293,2.60936,3.28661,8.86525,-1.26986,0.19196,-1.82064,-2.52716
03020209,Niederschönhausen,14031.0,4.45297,1.4062,5.12437,8.47308,-1.0627,-0.33444,-0.41933,-0.77413
03020210,Herthaplatz,10429.0,4.99858,1.7842,5.68607,9.47302,-0.55937,0.30112,-0.62931,-1.23665
03020307,Buchholz,17218.0,4.7236,1.57453,6.45255,12.8003,-0.95712,-0.29274,-0.68227,-3.08227
03030405,Karow Nord,10576.0,5.39805,1.67526,9.18116,19.46272,-0.96818,-0.37052,0.60947,-0.25015
03030406,Alt-Karow,8157.0,3.1534,1.00167,2.18217,4.96255,-0.14693,-0.06177,-0.20292,0.49826
03030711,Blankenburg,6745.0,3.12005,1.13045,2.65382,4.48792,-0.94743,-0.34863,0.2331,-0.22546
03030715,Heinersdorf,6583.0,4.34587,1.62126,4.02552,8.88325,-0.30015,-0.01591,0.15812,-0.94821
03030716,Märchenland,1128.0,4.02385,0.89419,2.21631,5.94059,0.98477,-0.11884,-0.43153,5.94059
03040508,Rosenthal,4587.0,3.91097,1.27186,5.64639,12.2807,-0.69778,-0.15387,-0.10021,0.01912
03040512,Wilhelmsruh,9520.0,4.97878,1.7793,4.96849,9.61689,-0.26423,0.08156,0.00999,-0.84998
03040513,Schönholz,3357.0,4.08065,1.48824,2.80012,1.7452,-0.7363,-0.1977,-1.14525,-3.50874
03040614,Pankow Zentrum,34233.0,6.37621,2.06931,7.69433,14.10978,-0.73902,-0.32288,-0.3188,-1.43285
03040818,Pankow Süd,33714.0,6.77624,2.12428,8.55728,18.33333,-0.88658,-0.38339,-0.44686,-3.18091
03050919,Gustav-Adolf-Straße,5320.0,6.61413,1.97017,8.64662,18.56678,-2.02823,-0.63826,-0.30151,-2.90562
