id,name,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,name,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
Nummer,Name,"SD: 1,31 %","SD: 0,35%","SD: 4,60 %","SD: 11,84 %","SD: 0,45 %-Pkt.","SD: 0,23 %-Pkt.","SD: 0,41 %-Pkt.","SD: 0,97 %-P.",Name,1.14952,2.72755,2.91561,17.19578,11.70445,7.41301,0.43811,5.83934,9.68692,7.73454,0.11243,2.8278,24.8564,3.56064,4.03816,0.37809,2.45128
01,Mitte,9.32473,2.70216,19.54133,47.6942,-1.18414,-0.70152,-0.40932,-2.14145,Mitte,4.64766,28.83169,9.84589,73.00146,47.97703,30.03287,1.83631,60.7412,33.5562,13.36432,1.6895,36.02928,69.79518,54.38799,34.19279,1.81782,-2.86514
02,Friedrichshain-Kreuzberg,8.69498,2.66935,16.33967,36.61611,-0.7529,-0.42849,-0.56159,-2.93384,Friedrichshain-Kreuzberg,4.32394,28.96365,10.97174,56.15517,38.70602,23.70915,1.27112,58.09008,30.31072,14.16017,1.68613,36.63104,66.01775,55.10662,31.89488,0.5274,-4.60709
03,Pankow,6.37438,2.0548,7.49076,14.39174,-0.75575,-0.27551,-0.23266,-1.46447,Pankow,3.22213,30.47315,2.73609,22.96446,15.69281,9.74902,1.87895,44.31842,12.60603,15.61137,1.88672,39.6048,32.33628,58.0657,26.53499,1.43027,-0.01144
04,Charlottenburg-Wilmersdorf,6.45739,2.37897,9.34568,20.89155,-0.2716,-0.3611,-0.54442,-1.32267,Charlottenburg-Wilmersdorf,2.51513,31.17864,6.46046,56.7493,36.818,21.9026,1.68862,56.21572,16.60348,8.14596,1.9432,43.79676,5.68003,62.42576,25.1584,1.35491,0.31786
05,Spandau,9.39213,3.07532,16.65097,40.76,-1.15374,-0.55917,0.42608,0.14019,Spandau,5.80614,33.38096,4.51099,49.59419,29.60476,13.95675,2.42902,61.85516,39.61862,12.89376,1.84703,37.79429,62.8403,61.04803,25.34029,1.75711,3.3406
06,Steglitz-Zehlendorf,5.25597,1.81116,6.06547,13.68019,-0.01494,-0.07861,-0.40597,-0.40615,Steglitz-Zehlendorf,1.98896,27.21195,2.54067,37.69505,23.56316,12.35481,0.70799,55.86628,15.35935,2.66269,1.9899,44.00312,6.45074,65.65471,21.41263,0.94844,2.39072
07,Tempelhof-Schöneberg,7.89436,2.64536,12.58581,30.13124,-0.09868,-0.04347,-0.32295,-0.81541,Tempelhof-Schöneberg,4.06752,29.85517,6.26183,52.37251,32.20239,16.69134,1.39575,60.53101,29.68145,11.47468,1.85797,40.21073,29.24975,63.61725,22.62266,1.10461,-0.07272
08,Neukölln,9.46511,2.89514,20.84024,50.18839,-1.00618,-0.34274,-0.18559,-1.56112,Neukölln,5.25056,29.06691,7.84572,68.64159,42.15052,23.49194,1.21091,61.43341,40.2186,11.18407,1.63628,34.70729,87.47836,61.0395,26.52881,0.87929,-2.23683
09,Treptow-Köpenick,7.04459,2.52534,8.16028,20.75967,-0.46212,-0.18349,-0.23853,-1.39342,Treptow-Köpenick,3.45534,32.54568,1.78353,17.81077,9.31928,5.15354,1.16493,54.1268,24.43582,19.21381,1.93388,39.25183,22.39456,64.39749,21.22452,1.13395,0.45522
10,Marzahn-Hellersdorf,8.95275,2.86764,15.75186,40.62429,-1.13037,-0.80183,0.41632,-0.77131,Marzahn-Hellersdorf,5.86256,37.23084,3.3944,24.66723,13.52133,5.87494,1.30171,65.63455,39.53854,24.58794,1.94326,37.11085,41.37907,65.53644,20.21621,0.68413,1.99133
11,Lichtenberg,8.01197,2.88849,12.92645,33.36996,-1.49089,-0.34535,0.38965,-0.95173,Lichtenberg,4.21282,34.79714,2.81081,32.38214,17.90811,10.43339,1.90073,67.9186,30.28043,34.27936,1.91809,36.01303,26.25743,61.66441,25.36383,1.34098,-0.32473
12,Reinickedorf,7.8832,2.51052,14.95118,37.59094,-0.65378,-0.06801,0.62651,0.95146,Reinickendorf,4.17953,31.30075,3.42791,49.08385,27.26969,13.52283,1.80056,61.91627,40.13655,16.9619,1.90913,39.43089,51.54882,62.76195,22.9951,1.36902,4.11403
