id,name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
01011101,Stülerstraße,3114.0,-0.41152,-0.45226,-0.47788,-0.33846,-1.68012,-0.43309,mittel,0.74921
01011103,Lützowstraße,5518.0,0.23738,0.0661,0.64746,0.38446,1.3354,0.34423,mittel,0.42751
01011104,Körnerstraße,4704.0,0.0382,-0.4868,0.99043,0.99025,1.53208,0.39493,mittel,-0.46091
01011105,Nördlicher Landwehrkanal,1135.0,-1.43486,-1.87833,-1.25966,-1.22597,-5.79882,-1.49479,hoch,0.13467
01011201,Wilhelmstraße,2190.0,-0.88158,-1.04076,-0.44374,0.01724,-2.34884,-0.60547,mittel,-0.35071
01011202,Unter den Linden Nord,608.0,-1.46532,-1.87833,-1.2231,-1.06274,-5.62949,-1.45114,hoch,0.81565
01011203,Unter den Linden Süd,1004.0,-0.76284,-0.51152,-1.01453,-0.87034,-3.15923,-0.81437,mittel,1.85861
01011204,Leipziger Straße,7463.0,-0.78528,-0.37132,-0.59073,-0.29507,-2.0424,-0.52648,mittel,-0.24186
01011301,Charitéviertel,6431.0,-1.25475,-1.51006,-1.05578,-1.14687,-4.96746,-1.28048,hoch,0.36284
01011302,Oranienburger Straße,12535.0,-0.7598,-1.02498,-0.71806,-0.82376,-3.3266,-0.85751,mittel,0.30621
01011303,Alexanderplatzviertel,9536.0,-0.34071,-0.55384,-0.42349,-0.33945,-1.65749,-0.42726,mittel,0.05189
01011304,Karl-Marx-Allee,8607.0,0.08498,-0.24848,0.15633,0.80206,0.79489,0.2049,mittel,0.40085
01011305,Heine-Viertel West,7617.0,-0.56688,-0.92929,-0.59085,-0.34982,-2.43684,-0.62815,mittel,0.69163
01011306,Heine-Viertel Ost,9530.0,-0.39163,-0.69492,-0.47213,-0.27269,-1.83137,-0.47208,mittel,-0.46219
01011401,Invalidenstraße,16331.0,-0.94982,-1.19083,-0.87764,-1.03104,-4.04933,-1.04381,hoch,0.2086
01011402,Arkonaplatz,13341.0,-0.9046,-1.21931,-1.04477,-1.20458,-4.37326,-1.12731,hoch,0.28448
01022101,Huttenkiez,3522.0,2.32785,1.20265,1.76792,2.15448,7.4529,1.92117,sehr niedrig,3.11766
01022102,Beusselkiez,6374.0,1.64602,1.72292,1.45813,1.57666,6.40373,1.65072,sehr niedrig,0.16352
01022104,Emdener Straße,18377.0,0.57363,0.5599,0.73534,0.87043,2.7393,0.70612,mittel,-0.98361
01022105,Zwinglistraße,5299.0,0.94918,0.21539,1.3672,1.62906,4.16083,1.07255,niedrig,0.26696
01022106,Elberfelder Straße,11799.0,-0.44918,-0.65988,-0.31311,-0.5614,-1.98357,-0.51131,mittel,-1.18584
01022201,Stephankiez,11292.0,0.08756,-0.31493,0.59815,0.49475,0.86553,0.22311,mittel,-0.69132
01022202,Heidestraße,1488.0,1.4571,1.25356,1.9572,1.28573,5.95359,1.53468,sehr niedrig,-1.51005
01022203,Lübecker Straße,6969.0,1.09612,0.57714,1.64066,1.44088,4.7548,1.22566,niedrig,-0.09467
01022204,Thomasiusstraße,5824.0,-0.20995,-0.62167,-0.11714,-0.32137,-1.27013,-0.32741,mittel,-0.21108
01022205,Zillesiedlung,3311.0,1.14745,0.63388,1.50401,0.54794,3.83328,0.98812,mittel,1.33554
01022206,Lüneburger Straße,3027.0,-0.33473,-0.85255,-0.14007,-0.44177,-1.76912,-0.45603,mittel,-0.36261
01022207,Hansaviertel,5630.0,-0.93819,-0.9678,-0.44289,-0.49101,-2.83989,-0.73205,mittel,-1.09467
01033101,Soldiner Straße,26841.0,1.57356,1.07915,2.40095,2.18735,7.24101,1.86655,sehr niedrig,-1.16273
01033102,Gesundbrunnen,11837.0,1.0453,0.43655,1.99028,1.95027,5.4224,1.39775,niedrig,-0.63174
01033201,Brunnenstraße,13361.0,1.28672,0.76295,2.28316,1.65383,5.98666,1.54321,sehr niedrig,-0.42704
01033202,Humboldthain Süd,9726.0,0.94114,0.41716,1.37826,1.25462,3.99118,1.02882,niedrig,-0.38805
01033203,Humboldthain Nordwest,14478.0,1.5439,1.23845,2.30927,2.188,7.27962,1.8765,sehr niedrig,-1.03025
01044101,Rehberge,20722.0,0.88318,0.8685,1.03811,1.34477,4.13456,1.06578,niedrig,-0.83868
01044102,Schillerpark,16238.0,0.66537,0.38049,0.79355,1.28183,3.12124,0.80458,mittel,-0.65869
01044103,Westliche Müllerstraße,8589.0,0.94454,0.70646,0.97298,1.27902,3.903,1.00609,niedrig,-0.16097
01044201,Reinickendorfer Straße,23424.0,1.62771,1.0377,2.37318,2.26648,7.30507,1.88306,sehr niedrig,-1.16466
01044202,Sparrplatz,16703.0,0.92171,0.9507,1.07029,1.51903,4.46173,1.15012,niedrig,-0.16712
01044203,Leopoldplatz,16462.0,1.44572,0.96376,1.95137,1.97455,6.3354,1.6331,sehr niedrig,-0.54645
02010101,Askanischer Platz,6481.0,1.09071,0.75731,1.47195,0.91279,4.23276,1.0911,niedrig,-1.40976
02010102,Mehringplatz,13278.0,1.97098,1.85536,2.37714,1.80962,8.0131,2.06557,sehr niedrig,-0.89261
02010103,Moritzplatz,15593.0,2.41239,2.51937,2.67696,2.05,9.65872,2.48977,sehr niedrig,-1.84975
02010104,Wassertorplatz,5044.0,1.96775,1.80676,2.64474,2.11829,8.53754,2.20076,sehr niedrig,-0.57194
02020201,Gleisdreieck/Entwicklungsgebiet,911.0,-1.17128,-1.35125,-1.01022,-1.03041,-4.56316,-1.17626,hoch,-3.82266
02020202,Rathaus Yorckstraße,5990.0,0.09853,-0.28794,0.14817,-0.13005,-0.17129,-0.04415,mittel,0.19507
02020203,Viktoriapark,10886.0,-0.25881,-0.34781,-0.14888,-0.32123,-1.07673,-0.27755,mittel,-0.30086
