id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011101,Stülerstraße,3114.0,0.0,-,8.70787,83.01887,56.10148,38.76044,2.15157,63.13173,8.25933,0.69832,2.07739,41.42967,0.0
01011102,Großer Tiergarten,192.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01011103,Lützowstraße,5518.0,3.08166,-,19.22222,86.19403,58.86191,38.92715,5.00902,65.0838,21.84318,7.85245,1.64842,37.9884,13.53751
01011104,Körnerstraße,4704.0,2.77778,-,31.70732,80.3066,64.41327,38.26531,2.08543,67.72222,24.11765,7.65027,1.35332,31.96195,57.03656
01011105,Nördlicher Landwehrkanal,1135.0,0.0,-,0.0,85.18519,57.88546,40.35242,1.24577,76.41921,1.43198,0.0,3.31894,93.70132,0.0
01011201,Wilhelmstraße,2190.0,1.32159,-,2.77078,78.49462,53.47032,35.25114,5.66477,67.74611,12.23022,11.22449,2.53973,52.87032,0.0
01011202,Unter den Linden Nord,608.0,0.0,-,0.0,67.81609,47.36842,36.34868,7.23222,46.15385,1.39535,10.65375,2.40789,70.33059,0.0
01011203,Unter den Linden Süd,1004.0,0.0,-,0.0,77.35849,50.99602,37.3506,-0.09575,61.06667,5.84795,41.19403,2.24104,59.77789,0.0
01011204,Leipziger Straße,7463.0,1.82482,-,4.42875,76.40187,44.25834,29.15718,4.51521,57.03125,10.26265,33.27044,2.12394,47.91183,0.0
01011301,Charitéviertel,6431.0,0.91533,-,3.14685,48.91827,39.46509,28.22267,3.01274,48.70523,3.63843,7.06605,2.20323,54.79474,49.29249
01011302,Oranienburger Straße,12535.0,0.90271,-,5.03145,44.3025,37.48704,25.89549,2.80082,46.36476,6.7662,23.4857,1.96825,45.62146,33.18708
01011303,Alexanderplatzviertel,9536.0,1.79754,-,5.69159,69.69407,43.71854,32.28817,6.49821,60.60409,9.37917,42.50248,1.92334,38.79111,17.83767
01011304,Karl-Marx-Allee,8607.0,2.51046,-,2.28951,70.97378,35.8313,22.3539,3.60983,69.12682,30.67815,45.80508,1.91519,35.35332,0.0
01011305,Heine-Viertel West,7617.0,2.61044,-,2.21993,62.88783,34.82999,22.83051,4.11673,66.30247,11.27865,38.21301,1.90652,35.95707,1.41788
01011306,Heine-Viertel Ost,9530.0,1.7094,-,2.66489,58.22102,39.09759,26.74711,6.00663,63.71126,13.77778,14.86094,1.68311,33.91322,20.68206
01011401,Invalidenstraße,16331.0,1.62539,-,5.28497,47.36842,38.55245,27.82438,2.02195,49.91197,5.53555,3.45912,1.79034,42.14029,52.89939
01011402,Arkonaplatz,13341.0,0.0,-,6.08021,41.49321,36.55648,25.32794,3.13466,41.34359,3.66445,3.24368,1.79349,39.98778,38.83517
01022101,Huttenkiez,3522.0,20.07576,-,22.0339,78.80086,51.81715,35.66156,1.53176,44.82484,48.98477,1.62304,1.50909,33.82907,100.0
01022102,Beusselkiez,6374.0,5.28736,-,20.2381,81.0962,58.34641,40.05334,1.06054,57.30513,33.0614,4.6491,1.54424,32.51114,100.0
01022103,Westhafen,258.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01022104,Emdener Straße,18377.0,3.63636,-,16.54247,68.39951,48.11449,30.89732,2.30583,58.6298,27.44644,3.22738,1.68248,36.49274,100.0
01022105,Zwinglistraße,5299.0,4.92676,-,18.56618,84.14634,57.82223,36.44084,4.17835,55.25634,35.34434,0.92987,1.44952,31.78317,100.0
01022106,Elberfelder Straße,11799.0,2.55591,-,7.09296,52.61239,35.86745,21.95101,1.4242,60.73359,16.57001,0.66739,1.81609,40.30562,4.68684
01022201,Stephankiez,11292.0,3.97226,-,13.98747,70.58465,50.15055,31.80128,4.76908,62.90727,26.78411,0.26224,1.61397,36.0565,99.29153
01022202,Heidestraße,1488.0,9.95671,-,14.59459,83.0721,65.32258,32.39247,0.21015,82.78008,41.00719,13.92,1.44153,32.22245,99.59677
01022203,Lübecker Straße,6969.0,6.05727,-,19.46721,82.66033,58.21495,33.31898,1.54577,68.08786,37.4504,12.91401,1.50725,31.74559,43.19128
01022204,Thomasiusstraße,5824.0,2.08696,-,9.16497,57.82493,40.07555,25.08585,2.30865,49.41821,16.18195,0.11438,1.87878,43.52404,6.04396
01022205,Zillesiedlung,3311.0,7.75,-,20.90909,83.30935,59.46844,31.19903,1.70106,77.25073,35.42354,17.7686,1.24343,29.48022,100.0
01022206,Lüneburger Straße,3027.0,4.04858,-,10.84071,62.44131,39.47803,21.40733,1.66877,50.30864,17.86311,0.0,1.78725,43.65775,0.0
01022207,Hansaviertel,5630.0,0.51813,-,9.48963,57.74135,43.83659,30.99467,3.33354,56.10315,8.19071,1.19144,1.93641,42.42522,0.0
01033101,Soldiner Straße,26841.0,6.80481,-,16.3916,83.52208,61.48802,40.79952,3.1073,62.24089,45.91356,14.70588,1.38039,28.30301,100.0
01033102,Gesundbrunnen,11837.0,6.02625,-,13.12804,83.12217,60.67416,38.09242,0.94414,64.8259,44.4067,8.51831,1.43474,29.29104,98.72434
01033201,Brunnenstraße,13361.0,6.4231,-,17.25395,88.56488,66.4097,31.31502,1.4974,74.56979,46.37605,48.38541,1.40424,28.3987,99.22162
01033202,Humboldthain Süd,9726.0,5.04032,-,10.66888,82.41514,54.93523,26.26979,0.37519,72.72016,38.13333,30.95291,1.51244,30.85112,100.0
01033203,Humboldthain Nordwest,14478.0,6.74757,-,17.18121,86.50594,62.84017,38.97638,2.03879,65.6034,45.51578,7.82689,1.4214,29.22324,100.0
01044101,Rehberge,20722.0,4.29704,-,9.24178,70.11855,46.97906,30.35421,2.70009,54.72178,34.79156,8.08737,1.62002,33.4821,99.58016
01044102,Schillerpark,16238.0,4.04624,-,6.5229,64.34783,37.92955,22.61978,1.83711,58.1541,33.86418,46.43461,1.76413,34.14521,62.34142
01044103,Westliche Müllerstraße,8589.0,3.46921,-,16.625,79.11647,51.8221,35.98789,4.82147,60.46587,32.0083,5.21819,1.55885,32.86459,100.0
01044201,Reinickendorfer Straße,23424.0,6.25714,-,17.34694,88.18497,67.21311,42.90044,1.13531,63.79739,45.05031,12.28546,1.32245,28.36189,99.9445
01044202,Sparrplatz,16703.0,5.23327,-,17.52848,78.00866,57.1095,39.78327,1.1021,61.3243,29.62377,3.10829,1.48662,31.07639,98.10812
01044203,Leopoldplatz,16462.0,5.58912,-,19.38089,82.55814,57.76941,39.09003,2.0991,57.83994,41.67383,8.0961,1.47546,31.03529,100.0
02010101,Askanischer Platz,6481.0,2.47619,-,23.68421,92.77211,71.23901,43.91298,4.67288,75.08784,25.30841,11.47491,1.49128,30.36892,68.41537
02010102,Mehringplatz,13278.0,6.29042,-,24.18794,89.30115,67.2767,32.03043,1.48701,73.85375,44.11374,20.02803,1.5302,31.82204,37.64121
