id,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
010112,2.05076,6.83774,18.51852,-0.4316,-0.09524,-2.20458,1.43646,-,3.96355,76.35542,46.81758,31.46028,4.3637,59.114,9.64329,28.52595,2.23054,51.14336,0.0,53.64048,35.2903,6.25626,7.80234
010113,2.48026,7.13823,17.18555,-0.56057,-0.77426,-2.13379,1.70204,-,3.23424,57.42632,38.46395,26.45237,4.40588,58.26366,11.91881,28.83774,1.92104,40.46605,20.477,55.83543,34.14046,3.51018,-0.36106
010114,1.32784,4.02304,6.02285,-0.49181,-0.08858,0.27084,1.00962,-,5.63867,44.7229,37.65503,26.70194,2.53793,46.25773,4.73793,3.36322,1.79176,41.17249,46.5759,49.48183,36.33912,2.10089,-4.34725
010221,4.98064,17.26741,40.57782,-1.83741,-1.25371,-1.75984,5.41214,-,14.23735,68.91551,47.92566,30.98906,2.10716,57.29844,29.67126,2.37641,1.65307,36.09704,75.34682,56.22615,34.01388,0.80147,-6.02753
010222,4.2311,15.54929,32.2817,-1.12408,-1.77843,-3.70674,4.1958,-,13.51503,71.99008,49.70033,30.05248,2.91513,62.61301,25.35307,4.1081,1.65805,37.25077,51.58893,59.07497,32.86557,1.48782,0.22085
010331,7.67897,29.60588,62.9444,-1.37678,-2.00124,-4.52244,6.57117,-,15.35897,83.40437,61.23895,39.97104,2.44673,62.99483,45.47934,12.79131,1.39702,28.60538,99.6096,55.04532,35.6906,0.99116,-3.34489
010332,6.92077,27.60572,55.49667,-1.74176,-2.15869,-4.97131,6.27501,-,14.82305,86.36602,62.06309,32.96153,1.47523,70.10176,44.3309,27.92223,1.43887,29.35144,99.72315,63.08168,27.11062,1.32067,-0.09174
010441,5.6994,19.33228,49.11712,-1.52723,-0.8899,-2.92544,4.03368,-,8.67742,69.99838,44.66618,28.65925,2.83621,57.04765,33.86722,21.5918,1.65986,33.60205,86.38389,58.08871,30.64148,2.15238,-1.71283
010442,7.06804,26.19797,60.07241,-1.85131,-1.92234,-5.0578,5.77286,-,18.17546,84.07274,61.48368,40.8719,1.39699,61.42937,39.56892,7.98489,1.41542,29.94082,99.41861,54.23167,35.76699,0.47339,-5.40016
020101,8.79655,28.66957,54.737,-1.70003,-3.8386,-6.93308,5.77802,-,21.83531,88.92135,68.43252,35.44163,1.95703,77.63498,43.16076,24.2563,1.47581,30.2071,72.40073,65.41588,27.19757,0.3345,-2.21468
020202,3.75916,11.83763,21.97802,-0.61468,-1.34126,-2.16443,3.58781,-,13.5004,53.74122,41.53644,25.76299,1.26987,55.3051,21.15372,4.77453,1.75612,39.8898,63.77133,59.78912,31.69943,0.51959,-3.9385
020303,6.5936,21.53026,40.71877,-1.56607,-2.78909,-5.38223,6.11725,-,23.01038,71.4367,56.86944,34.99416,-0.15119,71.93478,35.58199,14.1487,1.54547,33.33166,98.37811,67.20075,26.83384,-0.82893,-4.39516
020304,4.95021,14.77587,26.94301,-0.71352,-2.90011,-6.2201,4.40621,-,16.57982,59.26402,48.05823,31.62468,0.43389,59.52037,26.32005,2.8293,1.62392,37.13244,98.78806,60.66648,30.01662,-1.14425,-5.25966
020405,3.19034,9.10796,21.62254,-0.89429,-0.4553,-1.61125,2.0,-,2.32087,42.03883,24.17368,15.48985,2.21856,56.63741,20.79708,38.82202,1.84867,36.73536,24.30113,59.34617,26.35833,0.88868,-4.17891
020407,3.64408,10.65707,27.83161,-0.50793,-0.44256,-0.84696,2.29991,-,3.8528,47.78232,31.20711,21.29806,2.98559,58.17158,20.88695,31.56255,1.72575,37.15982,13.48078,57.11614,31.07407,0.81272,-3.86117
020506,3.39629,8.49485,14.51058,-0.71647,-1.06329,-1.20631,2.2787,-,9.48158,32.2154,27.08584,19.00948,2.94352,44.5927,14.64547,7.69639,1.70922,38.04332,61.64731,47.60617,36.82022,1.74754,-4.65578
020508,3.21337,8.09047,15.79176,-0.48122,-0.97604,-0.22162,2.59805,-,6.01562,31.75198,28.60243,20.77899,3.36139,44.41174,13.53173,8.35203,1.71849,38.20704,62.19293,47.60836,38.93562,1.12228,-5.1693
030101,5.65392,13.61188,28.05755,-0.90262,-1.12297,-6.21376,5.60821,-,1.93913,20.99488,12.94823,9.09722,3.7021,70.22901,26.69492,44.12955,1.8875,34.57367,60.80808,53.61053,30.84442,4.27379,7.28964
030202,2.02459,5.16354,8.44687,-0.42507,-0.16641,-0.03744,1.21265,-,1.70291,19.40384,12.74755,7.5177,2.51562,59.7242,14.43249,3.88687,1.80275,40.60535,28.12254,60.46925,22.82946,2.57914,5.19386
