id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011101,Stülerstraße,3114.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.98155,1.52214,8.15671,20.51282,-0.19405,0.13582,-0.41747,-0.75415,-0.41152,-0.45226,-0.47788,-0.33846,-1.68012,-0.43309,mittel,0.74921,3114.0,0.0,-,8.70787,83.01887,56.10148,38.76044,2.15157,63.13173,8.25933,0.69832,2.07739,41.42967,0.0
01011103,Lützowstraße,5518.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.83371,2.07542,17.74194,34.33283,-0.49655,-0.03439,-0.79608,-7.73613,0.23738,0.0661,0.64746,0.38446,1.3354,0.34423,mittel,0.42751,5518.0,3.08166,-,19.22222,86.19403,58.86191,38.92715,5.00902,65.0838,21.84318,7.85245,1.64842,37.9884,13.53751
01011104,Körnerstraße,4704.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.26519,1.48528,20.66327,45.91382,-1.33193,-0.75932,-1.66242,-3.7727,0.0382,-0.4868,0.99043,0.99025,1.53208,0.39493,mittel,-0.46091,4704.0,2.77778,-,31.70732,80.3066,64.41327,38.26531,2.08543,67.72222,24.11765,7.65027,1.35332,31.96195,57.03656
01011105,Nördlicher Landwehrkanal,1135.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.06061,0,1.4978,3.5461,-0.77191,-0.73892,-0.41651,-0.70922,-1.43486,-1.87833,-1.25966,-1.22597,-5.79882,-1.49479,hoch,0.13467,1135.0,0.0,-,0.0,85.18519,57.88546,40.35242,1.24577,76.41921,1.43198,0.0,3.31894,93.70132,0.0
01011201,Wilhelmstraße,2190.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",3.63985,0.894,8.44749,27.31278,-1.22831,-0.59349,0.12632,0.16992,-0.88158,-1.04076,-0.44374,0.01724,-2.34884,-0.60547,mittel,-0.35071,2190.0,1.32159,-,2.77078,78.49462,53.47032,35.25114,5.66477,67.74611,12.23022,11.22449,2.53973,52.87032,0.0
01011202,Unter den Linden Nord,608.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",1.97368,0,1.80921,6.66667,-0.13158,0,0.20278,0.54422,-1.46532,-1.87833,-1.2231,-1.06274,-5.62949,-1.45114,hoch,0.81565,608.0,0.0,-,0.0,67.81609,47.36842,36.34868,7.23222,46.15385,1.39535,10.65375,2.40789,70.33059,0.0
01011203,Unter den Linden Süd,1004.0,2.0,mittel,-,negativ,2-,"Status mittel, Dynamik negativ",3.97878,1.45889,3.58566,10.34483,0.84912,0.26664,0.25948,0.77036,-0.76284,-0.51152,-1.01453,-0.87034,-3.15923,-0.81437,mittel,1.85861,1004.0,0.0,-,0.0,77.35849,50.99602,37.3506,-0.09575,61.06667,5.84795,41.19403,2.24104,59.77789,0.0
01011204,Leipziger Straße,7463.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",3.91473,1.60853,7.1955,21.34228,-1.12596,0.27489,0.20608,-4.56943,-0.78528,-0.37132,-0.59073,-0.29507,-2.0424,-0.52648,mittel,-0.24186,7463.0,1.82482,-,4.42875,76.40187,44.25834,29.15718,4.51521,57.03125,10.26265,33.27044,2.12394,47.91183,0.0
01011301,Charitéviertel,6431.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",2.57469,0.39308,3.23433,5.05837,-0.55736,-0.32796,-0.05314,0.30376,-1.25475,-1.51006,-1.05578,-1.14687,-4.96746,-1.28048,hoch,0.36284,6431.0,0.91533,-,3.14685,48.91827,39.46509,28.22267,3.01274,48.70523,3.63843,7.06605,2.20323,54.79474,49.29249
01011302,Oranienburger Straße,12535.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",3.98745,0.91084,6.11089,11.23529,-0.61061,-0.14223,-0.47229,-1.01203,-0.7598,-1.02498,-0.71806,-0.82376,-3.3266,-0.85751,mittel,0.30621,12535.0,0.90271,-,5.03145,44.3025,37.48704,25.89549,2.80082,46.36476,6.7662,23.4857,1.96825,45.62146,33.18708
01011303,Alexanderplatzviertel,9536.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.18365,1.41372,8.61997,20.49383,-0.84975,-0.33486,-0.75503,-1.91281,-0.34071,-0.55384,-0.42349,-0.33945,-1.65749,-0.42726,mittel,0.05189,9536.0,1.79754,-,5.69159,69.69407,43.71854,32.28817,6.49821,60.60409,9.37917,42.50248,1.92334,38.79111,17.83767
01011304,Karl-Marx-Allee,8607.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",6.39872,1.73965,13.55873,42.31626,-0.52162,-0.83196,0.22777,2.17027,0.08498,-0.24848,0.15633,0.80206,0.79489,0.2049,mittel,0.40085,8607.0,2.51046,-,2.28951,70.97378,35.8313,22.3539,3.60983,69.12682,30.67815,45.80508,1.91519,35.35332,0.0
01011305,Heine-Viertel West,7617.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4.53809,1.01297,7.19443,20.2957,-0.2482,-0.25596,-0.40981,-4.7043,-0.56688,-0.92929,-0.59085,-0.34982,-2.43684,-0.62815,mittel,0.69163,7617.0,2.61044,-,2.21993,62.88783,34.82999,22.83051,4.11673,66.30247,11.27865,38.21301,1.90652,35.95707,1.41788
01011306,Heine-Viertel Ost,9530.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5.03832,1.26313,8.20567,21.77009,-1.33314,-0.34566,-0.68477,-5.59958,-0.39163,-0.69492,-0.47213,-0.27269,-1.83137,-0.47208,mittel,-0.46219,9530.0,1.7094,-,2.66489,58.22102,39.09759,26.74711,6.00663,63.71126,13.77778,14.86094,1.68311,33.91322,20.68206
