id,name,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,name,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k08_urban_apartments,k14_living_rooms,k15_living_space,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
Nummer,Name,"SD: 1,09 %","SD: 4,11 %","SD: 10,29 %","SD: 0,29 %-Pkt.","SD: 0,62 %-Pkt.","SD: 1,57 %-P.",Name,0.96039,-,3.37757,15.09228,11.202,7.05037,0.40248,3.92988,8.21994,8.05197,0.10778,2.79815,24.12633,3.15883,3.55188,0.39867,2.17776
01,Mitte,4.95572,18.02027,41.35603,-1.31638,-1.42821,-3.76582,Mitte,3.4066,-,12.1116,73.98578,53.26986,34.18115,1.62091,61.03151,26.47085,13.71414,1.62141,34.94698,65.42402,58.00784,32.10082,0.98619,-3.24968
02,Friedrichshain-Kreuzberg,4.54906,13.90945,28.03566,-0.85845,-1.80061,-3.59955,Friedrichshain-Kreuzberg,3.12733,-,12.53624,57.12957,43.80672,27.28625,1.71706,60.5438,21.38942,14.40559,1.66703,36.62135,53.29621,58.66268,31.24154,0.5495,-4.66676
03,Pankow,2.6944,6.84087,11.64029,-0.7636,-0.44614,-1.00077,Pankow,1.65006,-,3.08702,29.99776,21.67925,13.81907,1.82051,55.8961,13.80468,16.2701,1.84252,39.06196,23.73704,61.64676,25.17919,0.70058,-1.24661
04,Charlottenburg-Wilmersdorf,3.20361,8.95944,18.92187,-0.91825,-0.47642,-1.04859,Charlottenburg-Wilmersdorf,1.48455,-,7.62842,61.23747,41.81415,24.97429,0.81333,58.86983,14.59005,8.1231,1.889,42.85017,3.45241,64.50801,25.79243,0.80956,-2.58647
05,Spandau,5.68059,16.92282,38.65586,-1.49728,0.02124,-1.48833,Spandau,4.01572,-,5.84996,57.61477,36.45343,19.54254,1.56153,61.70428,38.45819,13.70122,1.78379,36.7333,62.28155,63.9945,25.00623,0.64825,1.10003
06,Steglitz-Zehlendorf,2.32029,5.88359,11.88706,-0.62592,-0.43272,-0.96153,Steglitz-Zehlendorf,1.07599,-,3.48678,42.88659,27.58888,14.54085,1.00421,63.63819,15.52367,3.21498,1.97076,43.80997,5.69987,67.14095,20.97003,0.91576,2.12227
07,Tempelhof-Schöneberg,3.89097,12.73543,27.59413,-1.31232,-0.22498,-1.3287,Tempelhof-Schöneberg,2.4997,-,7.20095,56.64813,37.4013,20.35888,1.28564,62.52533,26.79047,11.98186,1.79077,38.86798,27.68013,66.02116,25.59879,0.67583,-0.55263
08,Neukölln,6.08732,18.78768,43.17179,-1.15786,-1.47142,-4.46709,Neukölln,4.46304,-,9.23098,69.75167,46.21417,25.6087,1.21462,63.96647,32.82471,12.55395,1.63041,34.68747,84.17769,65.11984,24.3094,0.19899,-2.27639
09,Treptow-Köpenick,3.43495,8.63201,20.08289,-0.67999,0.15572,0.56278,Treptow-Köpenick,2.19395,-,2.09996,25.23474,15.51849,9.36002,1.66093,59.3125,28.34736,19.63577,1.88372,38.76916,20.91039,63.49305,23.93163,1.89407,1.18638
10,Marzahn-Hellersdorf,4.14521,13.69061,31.28192,-1.37859,-1.23487,-4.67561,Marzahn-Hellersdorf,2.5903,-,3.84044,32.40751,19.53866,10.53885,2.26642,67.79888,33.86664,27.25041,1.90188,36.62126,39.5112,68.97511,20.09447,1.20607,2.69558
11,Lichtenberg,4.33436,12.55108,29.036,-0.76738,-0.45467,-1.44433,Lichtenberg,2.42749,-,3.43127,40.61516,25.68564,16.41038,2.08611,71.40819,29.85981,35.20689,1.84551,35.11235,22.82706,62.60568,26.6483,1.03617,-0.81483
12,Reinickedorf,4.71218,15.14466,36.07306,-1.15665,-0.22994,-1.55967,Reinickendorf,2.60669,-,4.65068,55.25756,33.29733,17.82944,1.59313,63.43902,36.94999,17.71136,1.85381,38.43236,52.42423,66.73697,20.92303,0.69248,0.73677
