id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01011101,Stülerstraße,3384.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",3384.0,2.7978,7.65366,15.43624,-0.33873,-0.50305,-5.07658,3384.0,-0.47353,-0.5059,-0.56588,-1.54531,mittel,0.68971,3384.0,1.11111,-,8.11554,90.17857,60.6974,41.87352,3.11309,65.27876,7.06687,0.65559,2.01862,41.73611,0.0
01011103,Lützowstraße,5038.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",5038.0,4.43002,17.68559,37.5,-0.70792,-0.05635,3.16717,5038.0,0.2366,0.75805,0.66785,1.6625,mittel,0.28622,5038.0,2.68714,-,19.87041,82.27474,57.26479,34.75586,-4.17129,60.3084,23.1319,8.72987,1.83585,42.58575,14.41048
01011104,Körnerstraße,4759.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",4759.0,4.9452,18.72242,42.59542,-0.26679,-1.94085,-3.3184,4759.0,0.46074,0.88868,0.95277,2.30219,mittel,0.76834,4759.0,3.46741,-,27.27273,78.19549,65.34986,39.94537,1.68006,70.12099,23.03433,7.69613,1.33789,31.60517,36.81446
01011105,Nördlicher Landwehrkanal,1421.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",1421.0,0.58366,2.18156,3.52941,-0.38604,0.68376,-0.01669,1421.0,-1.43684,-1.19535,-1.23167,-3.86386,hoch,0.63801,1421.0,0.95238,-,2.24215,83.78378,63.26531,46.02393,5.6715,72.93578,1.47783,0.0,2.67417,75.87966,0.0
01011201,Wilhelmstraße,2405.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",2405.0,2.3918,7.98337,19.02985,-0.16248,-0.46412,-8.28293,2405.0,-0.65017,-0.46436,-0.36493,-1.47946,mittel,0.88234,2405.0,1.52091,-,3.93701,83.79205,59.7921,40.99792,5.74678,66.02434,8.66667,10.54073,2.39543,51.19168,0.0
01011202,Unter den Linden Nord,632.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",632.0,1.25523,1.58228,11.11111,0.15874,-0.22693,4.44444,632.0,-1.14466,-1.27085,-0.80772,-3.22323,hoch,1.2334,632.0,0.0,-,0.0,80.76923,47.94304,36.55063,0.20195,47.18615,1.82648,10.65375,2.31646,67.65981,0.0
01011203,Unter den Linden Süd,1115.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",1115.0,1.79856,4.39462,6.25,-1.11921,0.80896,-4.09483,1115.0,-0.90827,-0.91652,-1.07954,-2.90433,mittel,-0.16328,1115.0,1.31579,-,3.5503,78.22581,53.18386,36.59193,-0.75867,64.21569,4.49735,48.28614,2.02063,54.26188,0.0
01011204,Leipziger Straße,8279.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",8279.0,2.04932,7.19894,20.35996,-0.47006,0.00344,-0.98232,8279.0,-0.79917,-0.56319,-0.29056,-1.65292,mittel,0.54618,8279.0,1.16473,-,4.59559,79.37626,50.15098,33.30112,4.14395,62.45919,10.35141,31.62615,1.99589,45.56215,0.0
01011301,Charitéviertel,6919.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch, Dynamik stabil",6919.0,0.96278,2.68825,4.26759,-0.25577,-0.54608,-0.79078,6919.0,-1.27189,-1.13151,-1.19039,-3.59379,hoch,0.78038,6919.0,0.41667,-,2.91859,51.2605,42.83856,30.5391,2.31642,53.09986,2.79138,6.73349,2.06648,51.39688,11.70689
01011302,Oranienburger Straße,12572.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel, Dynamik stabil",12572.0,2.04226,5.85428,11.10444,-0.24496,-0.25661,-0.13085,12572.0,-0.80224,-0.73261,-0.8081,-2.34295,mittel,0.79219,12572.0,0.77369,-,5.3202,48.4787,40.08909,27.2749,1.3794,48.46894,7.88596,22.63312,1.9798,45.986,26.78969
