id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class
01100101,Stülerstraße,3419.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
01100102,Großer Tiergarten,1791.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
01100103,Lützowstraße,5211.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100104,Körnerstraße,4636.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100205,Wilhelmstraße,2573.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100206,Unter den Linden,1803.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
01100207,Leipziger Straße,8312.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100308,Charitéviertel,6967.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
01100309,Oranienburger Straße,12352.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100310,Alexanderplatzviertel,9903.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100311,Karl-Marx-Allee,9013.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ"
01100312,Heine-Viertel West,9422.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100313,Heine-Viertel Ost,10779.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100414,Nordbahnhof,5178.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100415,Invalidenstraße,12593.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01100416,Arkonaplatz,13443.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil"
01200517,Huttenkiez,3725.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig , Dynamik positiv"
01200518,Beusselkiez,6866.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01200519,Emdener Straße,9103.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200520,Bremer Straße,9433.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200521,Zwinglistraße,5235.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01200522,Elberfelder Straße,11333.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200623,Stephankiez,10825.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200624,Heidestraße,5178.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv"
01200625,Lübecker Straße,6976.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01200626,Thomasiusstraße,5935.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200627,Zillesiedlung,3280.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ"
01200628,Lüneburger Straße,3132.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01200629,Hansaviertel,5807.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01300730,Drontheimer Straße,7957.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300731,Koloniestraße,8545.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300732,Soldiner Straße,9879.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300733,Gesundbrunnen,11665.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300834,Brunnenstraße,14193.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01300835,Humboldthain Süd,10443.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01300836,Humboldthain Nordwest,14657.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil"
01400937,Afrikanische Straße,10804.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01400938,Kameruner Straße,9725.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01400939,Glasgower Straße,5926.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil"
01400940,Schillerpark,6794.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
01400941,Londoner Straße,3786.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil"
