id,name,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
011001,Tiergarten Süd,15057.0,4.84712,13.15667,30.45744,1.01258,-0.912800000000001,-1.59913
011002,Regierungsviertel,12688.0,2.70122,6.3367,18.10219,0.67162,-0.50104,-0.416329999999999
011003,Alexanderplatz,58436.0,3.40067,7.06414,17.91413,0.94067,-0.07409,0.728580000000001
011004,Brunnenstraße Süd,31214.0,2.03768,4.03665,6.89001,0.70684,0.00410999999999984,0.95024
012005,Moabit West,45695.0,6.50866,14.99726,37.15199,1.57046,-2.27231,-3.44447
012006,Moabit Ost,41133.0,5.45699,13.39071,29.77786,1.25493,-2.16114,-2.50384
013007,Osloer Straße,38046.0,10.73448,26.64669,60.95592,3.09286,-2.95919,-1.98848
013008,Brunnenstraße Nord,39293.0,9.83395,24.94592,53.51793,2.95345,-2.6598,-1.97874
014009,Parkviertel,45678.0,7.71196,16.99943,44.81762,2.05091,-2.33285,-4.28148
014010,Wedding Zentrum,56120.0,9.4285,22.99359,55.5984,2.39792,-3.20438,-4.44815000000001
021001,Südliche  Friedrichstadt,40490.0,11.26117,26.8412,55.83099,2.51343,-1.82837,1.09399
022002,Tempelhofer Vorstadt,65074.0,4.98703,10.90912,20.32092,1.25323,-0.928510000000001,-1.6571
023003,Nördliche Luisenstadt,20525.0,8.7139,19.67844,39.84992,2.37486,-1.09898,1.44814
023004,Südliche Luisenstadt,27046.0,6.80157,14.26089,27.16163,1.65089,-1.37576,-2.19377
024005,Karl-Marx-Allee Nord,24571.0,4.35034,8.24142,20.00633,1.18189,-0.879049999999999,-1.61621
024006,Karl-Marx-Allee Süd,25757.0,4.78721,10.25741,27.89182,1.16343,-0.399659999999999,0.0602099999999979
025007,Frankfurter Allee Nord,31307.0,4.29817,8.12917,14.01958,0.91183,-0.35595,-0.417210000000001
025008,Frankfurter Allee Süd FK,55017.0,4.00284,7.73579,15.44771,0.79957,-0.352819999999999,-0.344049999999999
031001,Buch,16692.0,7.56138,12.09561,25.62613,1.96664,-1.52824,-2.50715
032002,Blankenfelde/Niederschönhausen,28622.0,2.46362,5.05905,8.38556,0.45963,-0.11144,-0.0613100000000006
032003,Buchholz,18419.0,2.07922,4.6528,8.18448,0.58288,-0.90883,-1.94003
033004,Karow,19694.0,2.72878,7.17985,16.15682,0.82424,0.29933,1.16607
033005,Blankenburg/Heinersdorf/Märchenland,15812.0,2.13709,3.95269,8.2929,0.73918,0.80535,3.2191
034006,Schönholz/Wilhelmsruh/Rosenthal,18689.0,2.2568,4.14147,7.12987,0.49324,0.26757,-0.0537099999999997
034007,Pankow Zentrum,37240.0,3.20623,6.0768,10.88498,0.69056,-0.410439999999999,1.3162
034008,Pankow Süd,35738.0,3.5897,6.55605,13.2957,0.81827,-0.52728,0.74272
035009,Weißensee,38922.0,4.22591,7.29151,12.80332,0.70618,-1.56236,-1.9459
035010,Weißensee Ost,15833.0,5.10214,8.31807,21.40097,1.38603,-1.4093,-2.63601
036011,Prenzlauer Berg Nordwest,26999.0,3.26605,5.44465,7.67843,0.75622,-0.36029,-0.13699
036012,Prenzlauer Berg Nord,27445.0,3.35516,6.15413,11.33226,0.80438,-0.77837,-1.24473
036013,Helmholtzplatz,22534.0,3.34289,5.99538,7.80585,0.8064,0.0451300000000003,0.64944
036014,Prenzlauer Berg Ost,27196.0,6.12152,10.6045,24.57516,1.60075,0.0162599999999991,3.14848
037015,Prenzlauer Berg Südwest,27258.0,2.35968,4.47208,6.08515,0.49932,0.27535,0.74763
037016,Prenzlauer Berg Süd,33623.0,3.00478,5.58844,8.27151,0.63265,0.1543,1.19955
041001,Charlottenburg Nord,19403.0,8.80229,19.78045,47.18773,1.24415,-2.24953,-4.00363
042002,Heerstraße,13038.0,1.62726,3.22902,7.10526,0.28403,0.1171,0.48231
042003,Westend,28342.0,3.45292,6.34747,15.57138,1.17241,0.38642,3.27902
043004,Schloss Charlottenburg,43082.0,4.06827,9.14767,17.85788,0.80995,-1.3198,-2.97294
043005,Mierendorffplatz,15567.0,5.14261,11.16464,27.53978,0.61622,-1.38542,-3.30997
043006,Otto-Suhr-Allee/Kantstraße,49915.0,4.34182,9.64239,21.62795,0.80414,-0.848979999999999,-0.445430000000002
044007,Grunewald,19813.0,2.69526,5.60238,10.90381,0.73831,-0.18542,0.94313
044008,Schmargendorf,34000.0,3.09263,6.27353,12.35727,0.59548,0.28529,3.21834
045009,Halensee,27736.0,3.66839,7.49928,16.78439,0.68017,-0.80042,-2.70103
045010,Lietzenburger Straße,40841.0,3.26776,6.84116,14.45406,0.72815,0.0803800000000008,1.95406
045011,Volkspark Wilmersdorf,49655.0,3.63254,7.91662,17.1106,0.71199,-0.191000000000001,0.698110000000003
051001,Hakenfelde,26780.0,4.85489,10.89619,26.0917,1.04531,-0.792479999999999,-1.54398
051002,Falkenhagener Feld,41960.0,7.9687,18.67731,43.74704,1.38515,-1.95128,-1.40911
051003,Spandau Mitte,37880.0,8.1164,19.36114,45.28137,1.27674,-1.64346,-0.818659999999994
052004,Brunsbütteler Damm,23362.0,4.65148,10.60269,27.0638,0.57388,-0.746689999999999,0.0880700000000019
052005,Heerstraße,30171.0,9.34731,24.09599,52.72268,0.89676,-1.63161,-2.45404000000001
052006,Wilhelmstadt,36304.0,6.48815,13.98468,36.85969,1.02675,-1.06313,-0.35539
053007,Haselhorst,16493.0,7.21972,16.77681,37.62529,1.34483,-1.13098,-1.34993
053008,Siemensstadt,12740.0,6.19582,14.72527,35.34711,1.21588,-2.01163,-4.85523
054009,Gatow/Kladow,19837.0,1.12818,2.52558,3.42709,-0.0516300000000001,-0.29678,-2.58135
061001,Schloßstraße,22077.0,2.56568,4.92368,9.4503,0.47937,-0.26696,0.38977
061002,Albrechtstraße,53501.0,3.67774,6.99426,14.23933,0.79234,-0.85397,-1.31447
062003,Lankwitz,43558.0,4.25103,8.23041,18.73298,0.80442,-0.75971,-1.44246
062004,Ostpreußendamm,35729.0,3.81474,7.66324,19.76571,0.6691,-0.682040000000001,-1.77935
