id,name,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
01100101,Stülerstraße,3419.0,-0.25328,-0.40645,-0.30877,-0.9685,mittel,0.40965
01100102,Großer Tiergarten,1791.0,-1.29522,-1.05422,-0.97314,-3.32258,hoch,-0.91511
01100103,Lützowstraße,5211.0,0.11681,0.65135,0.48583,1.25399,mittel,-0.16493
01100104,Körnerstraße,4636.0,0.41083,1.00289,0.92465,2.33837,mittel,0.17591
01100205,Wilhelmstraße,2573.0,-0.70959,-0.64798,-0.28715,-1.64472,mittel,-0.62912
01100206,Unter den Linden,1803.0,-0.95636,-0.84575,-0.69874,-2.50085,mittel,-0.55559
01100207,Leipziger Straße,8312.0,-0.74874,-0.60472,-0.33897,-1.69243,mittel,-0.37575
01100308,Charitéviertel,6967.0,-1.22114,-1.17432,-1.19021,-3.58567,hoch,-0.72253
01100309,Oranienburger Straße,12352.0,-0.69206,-0.64741,-0.70269,-2.04216,mittel,-0.19724
01100310,Alexanderplatzviertel,9903.0,-0.3723,-0.37865,-0.24506,-0.99601,mittel,-0.33851
01100311,Karl-Marx-Allee,9013.0,0.6106,0.27289,0.85181,1.7353,mittel,1.32871
01100312,Heine-Viertel West,9422.0,-0.63975,-0.77236,-0.63907,-2.05118,mittel,-0.43316
01100313,Heine-Viertel Ost,10779.0,-0.7174,-0.65959,-0.49955,-1.87654,mittel,-0.40622
01100414,Nordbahnhof,5178.0,-1.04738,-0.94841,-0.90772,-2.90351,mittel,-0.48224
01100415,Invalidenstraße,12593.0,-0.99189,-0.91156,-1.04726,-2.95071,mittel,-0.60245
01100416,Arkonaplatz,13443.0,-0.98149,-1.03988,-1.1317,-3.15307,hoch,-0.19801
01200517,Huttenkiez,3725.0,1.18391,1.55357,2.05109,4.78857,sehr niedrig,0.53442
01200518,Beusselkiez,6866.0,1.00205,1.19512,1.59371,3.79088,niedrig,0.69345
01200519,Emdener Straße,9103.0,0.91372,0.76749,1.03943,2.72064,mittel,1.22314
01200520,Bremer Straße,9433.0,0.38979,0.37637,0.40321,1.16937,mittel,0.56682
01200521,Zwinglistraße,5235.0,0.90862,1.37861,1.61271,3.89994,niedrig,1.11392
01200522,Elberfelder Straße,11333.0,-0.45135,-0.47575,-0.65494,-1.58204,mittel,-0.53526
01200623,Stephankiez,10825.0,0.25024,0.392,0.24767,0.88991,mittel,0.67023
01200624,Heidestraße,5178.0,-0.48835,-0.22209,-0.17035,-0.88079,mittel,-2.8465
01200625,Lübecker Straße,6976.0,1.5309,1.59377,1.36704,4.49171,sehr niedrig,1.77812
01200626,Thomasiusstraße,5935.0,-0.53219,-0.36445,-0.47131,-1.36795,mittel,-0.05429
01200627,Zillesiedlung,3280.0,2.12419,2.09448,1.30508,5.52375,sehr niedrig,3.77947
01200628,Lüneburger Straße,3132.0,-0.67952,-0.3519,-0.66934,-1.70076,mittel,-1.63844
01200629,Hansaviertel,5807.0,-0.79183,-0.59167,-0.62762,-2.01112,mittel,-0.83267
01300730,Drontheimer Straße,7957.0,2.68434,2.68179,2.44808,7.81421,sehr niedrig,3.24086
01300731,Koloniestraße,8545.0,1.92502,2.17262,2.24823,6.34587,sehr niedrig,1.84288
01300732,Soldiner Straße,9879.0,1.98603,2.36206,2.22643,6.57452,sehr niedrig,1.81631
