id,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
011002,12688.0,2.70122,6.3367,18.10219,0.67162,-0.50104,-0.416329999999999,12688.0,1.9,21.97802,4.34193,81.02467,53.83039,36.26261,1.01203,69.63704,9.11812,0.0,54.18353,33.60501,0.71802,-5.27236
011003,58436.0,3.40067,7.06414,17.91413,0.94067,-0.07409,0.728580000000001,58436.0,1.90099,28.77896,4.12441,63.74172,44.95688,30.28784,1.12372,68.90785,11.78435,0.03594,58.519,31.45828,0.81248,-1.30729
011004,31214.0,2.03768,4.03665,6.89001,0.70684,0.00410999999999984,0.95024,31214.0,1.35708,26.31426,6.22837,51.42104,42.48735,29.01583,-0.87371,60.89213,6.1894,0.0,54.92771,32.19753,-1.45498,-5.7695
012005,45695.0,6.50866,14.99726,37.15199,1.57046,-2.27231,-3.44447,45695.0,4.45487,28.45752,15.03554,70.15949,50.35562,32.19171,-0.15153,64.01768,25.64942,75.48966,60.20429,30.62608,-1.07025,-6.72112
012006,41133.0,5.45699,13.39071,29.77786,1.25493,-2.16114,-2.50384,41133.0,4.26105,24.39364,14.32034,73.22196,53.24435,32.43624,1.03514,68.19817,19.97075,58.2452,57.93123,32.33057,2.34855,0.34331
013007,38046.0,10.73448,26.64669,60.95592,3.09286,-2.95919,-1.98848,38046.0,7.50654,31.02537,17.6565,84.38315,63.18404,40.11985,-0.90592,67.19733,42.43134,99.87909,62.8714,28.31493,-1.81961,-4.11656
013008,39293.0,9.83395,24.94592,53.51793,2.95345,-2.6598,-1.97874,39293.0,6.19555,26.92976,16.18143,85.82415,63.89942,33.87626,0.01218,74.78026,38.95119,99.47064,65.03644,25.06817,0.30158,-1.11793
014009,45678.0,7.71196,16.99943,44.81762,2.05091,-2.33285,-4.28148,45678.0,4.63605,33.08015,10.35906,73.06205,48.46097,30.19834,0.1554,63.51312,30.61032,92.70765,63.18731,26.55934,-0.52634,-6.01113
014010,56120.0,9.4285,22.99359,55.5984,2.39792,-3.20438,-4.44815000000001,56120.0,6.55854,28.45996,20.04417,83.5598,63.25552,41.22773,-1.00318,65.92471,34.82746,99.7933,60.42756,30.25668,-1.80739,-5.81455
021001,40490.0,11.26117,26.8412,55.83099,2.51343,-1.82837,1.09399,40490.0,7.53277,26.70702,22.99117,88.84999,68.90343,35.31736,-0.75979,77.65734,36.75341,99.31588,68.51929,26.60869,-0.73523,-4.0641
022002,65074.0,4.98703,10.90912,20.32092,1.25323,-0.928510000000001,-1.6571,65074.0,4.95102,27.43291,13.77634,55.04181,43.89311,26.60663,-0.11719,60.18251,18.07648,11.59449,63.39943,27.28226,-1.09344,-5.34758
023003,20525.0,8.7139,19.67844,39.84992,2.37486,-1.09898,1.44814,20525.0,7.08134,31.78419,21.35623,69.84283,57.2229,34.37759,-0.18619,75.60941,30.35983,100.0,70.95279,22.66233,-1.18692,-4.52737
023004,27046.0,6.80157,14.26089,27.16163,1.65089,-1.37576,-2.19377,27046.0,6.10589,30.80873,17.4433,60.81825,51.53442,32.80707,-0.19318,65.67114,21.75016,97.39333,66.05913,26.75708,-1.45883,-7.08855
024005,24571.0,4.35034,8.24142,20.00633,1.18189,-0.879049999999999,-1.61621,24571.0,3.13407,32.4509,2.98867,48.30317,31.4395,19.43348,1.70526,62.45026,18.15068,0.0,61.69792,25.66179,1.56085,-0.83865
024006,25757.0,4.78721,10.25741,27.89182,1.16343,-0.399659999999999,0.0602099999999979,25757.0,3.26954,33.46883,5.30035,57.56881,41.32857,28.47381,3.00999,66.2667,17.75584,2.48864,57.8058,32.23383,0.76899,-3.58766
025007,31307.0,4.29817,8.12917,14.01958,0.91183,-0.35595,-0.417210000000001,31307.0,2.57827,29.75153,9.60671,40.26141,34.62804,24.12879,2.08303,54.32883,12.77284,0.0,54.64344,32.08081,-0.00711,-6.63023
