id,name,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,name,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
Nummer,Name,"SD: 1,48 %","SD: 3,63 %","SD: 9,54 %","SD: 0,48 %-Pkt.","SD: 0,51 %-Pkt.","SD: 0,95 %-Pkt.",Name,1.45747,2.62942,3.44422,14.16924,10.78694,6.55244,0.68888,3.13795,7.50138,23.32637,2.96436,3.24885,0.58423,2.1813
01,Mitte,6.68137,15.98602,38.85206,1.75647,-1.98079,-2.50397,Mitte,4.81153,28.2058,12.31645,74.74595,54.08467,34.13267,-0.04848,67.14354,26.11379,61.20044,60.0356,29.97206,-0.31713,-3.78235
02,Friedrichshain-Kreuzberg,5.90564,12.92674,27.12604,1.37812,-0.947429999999999,-0.90962,Friedrichshain-Kreuzberg,4.91502,29.18243,12.75465,58.08696,45.33847,28.07683,0.79058,64.39536,21.19659,33.30412,61.014,29.07239,-0.33155,-4.88122
03,Pankow,3.48544,6.45215,11.96328,0.80891,-0.374470000000001,0.308599999999998,Pankow,2.14226,30.54042,3.07687,32.64274,23.52404,14.88888,1.06981,60.6793,15.23142,7.61816,64.45687,23.27821,0.21375,-1.93782
04,Charlottenburg - Wilmersdorf,3.94256,8.40734,18.76837,0.77508,-0.50581,-0.158819999999999,Charlottenburg-Wilmersdorf,2.02545,28.64661,7.83382,63.03513,43.02825,25.44904,0.47475,61.72581,14.70497,5.72978,66.09445,24.43328,0.26818,-2.17918
05,Spandau,6.64288,15.55552,36.99651,1.01616,-1.32987,-1.70686,Spandau,4.51831,31.88581,6.34723,60.10762,38.62467,21.1769,1.63436,64.40042,36.87418,63.70053,65.99757,20.24927,0.85182,1.17501
06,Steglitz-Zehlendorf,2.95006,5.43841,11.452,0.65606,-0.403309999999999,-0.43506,Steglitz-Zehlendorf,1.41787,25.92441,3.57083,44.94156,29.14486,15.45817,0.91732,66.50468,14.67968,3.34445,68.71266,19.4288,0.60928,1.55937
07,Tempelhof-Schöneberg,4.90207,11.92828,26.82788,1.05454,-0.76362,-0.768460000000001,Tempelhof-Schöneberg,3.16782,28.56708,7.33559,57.66937,38.40401,20.6203,0.26143,65.27277,26.90313,20.6718,68.01696,22.39412,-0.14354,-1.5408
08,Neukölln,8.46004,16.93912,41.58842,2.4206,-1.80533,-1.59429,Neukölln,6.92136,29.5556,9.65888,70.31403,47.5531,26.10316,0.49446,66.89057,32.03538,75.86882,67.45599,21.98655,-0.40674,-3.41457
09,Treptow-Köpenick,4.30778,7.93294,19.39106,0.9073,-0.67794,-0.697390000000002,Treptow-Köpenick,2.90909,32.02475,2.17346,28.97752,17.77923,10.94491,1.58488,63.96149,28.08576,21.72361,64.2409,22.38323,1.34684,0.77182
10,Marzahn-Hellersdorf,4.85704,12.35848,28.60116,0.77232,-1.29678,-2.69812,Marzahn-Hellersdorf,3.73119,36.19863,3.91567,35.92171,21.85905,12.58498,2.04613,68.87863,33.57856,32.88995,69.7961,19.28842,1.05424,1.99022
11,Lichtenberg,5.27787,11.28667,27.50552,0.98548,-1.13635,-1.53532,Lichtenberg,3.22155,33.64084,3.64634,44.167,28.37719,18.59977,2.18939,73.20462,28.98876,20.65376,64.16197,24.8179,1.07454,-0.50798
12,Reinickendorf,5.75838,13.65309,33.50754,1.09537,-1.43908,-2.56819,Reinickendorf,3.11425,29.66108,4.735,57.14539,35.38852,19.36248,1.53303,65.79141,33.36689,48.96533,68.99279,22.08928,0.54428,0.51638
