id,name,inhabitants,status_index,status_index_class,dynamic_index,dynamic_index_class,status_dynamic_index,status_dynamic_index_class,inhabitants,s1_percentage_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,z_s1_percentage_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01100101,Stülerstraße,3419.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ",3419.0,4.22594,8.04329,19.39799,1.46443,0.38963,3.96175,3419.0,-0.25328,-0.40645,-0.30877,-0.9685,mittel,0.40965,3419.0,2.8169,25.61576,9.72603,83.18043,59.9298,40.56742,-1.30611,70.4398,8.55365,0.0,55.91725,38.36051,0.50707,-4.83009
01100102,Großer Tiergarten,1791.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil",1791.0,1.15858,3.46175,8.33333,0.24344,0.92619,4.92424,1791.0,-1.29522,-1.05422,-0.97314,-3.32258,hoch,-0.91511,1791.0,0.0,26.97368,4.58716,88.28452,66.94584,50.75377,6.16502,71.28713,3.07868,0.61418,40.15152,49.55817,5.17884,1.50901
01100103,Lützowstraße,5211.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",5211.0,5.31544,15.52485,32.63158,0.93486,-2.16074,-4.86842,5211.0,0.11681,0.65135,0.48583,1.25399,mittel,-0.16493,5211.0,3.85356,27.27273,20.19651,80.80357,58.35732,35.55939,0.80354,65.83918,21.03695,6.04491,57.48744,29.77873,2.40964,0.29533
01100104,Körnerstraße,4636.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",4636.0,6.18102,18.01122,39.93994,1.249,-0.711199999999998,-2.65548,4636.0,0.41083,1.00289,0.92465,2.33837,mittel,0.17591,4636.0,4.375,24.23529,28.3237,79.94859,64.58154,38.54616,-1.39921,75.93733,25.29481,8.23986,59.03233,32.69263,-2.08722,-2.64828
01100205,Wilhelmstraße,2573.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",2573.0,2.8826,6.33502,19.75806,0.50703,-1.64835,0.728210000000001,2573.0,-0.70959,-0.64798,-0.28715,-1.64472,mittel,-0.62912,2573.0,2.51799,20.20202,4.31655,85.61873,61.91216,44.07307,3.07515,74.25044,7.04762,0.0,56.43604,42.22104,3.04325,-5.97983
01100206,Unter den Linden,1803.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ",1803.0,2.15613,4.93622,12.90323,0.5748,1.44452,5.0719,1803.0,-0.95636,-0.84575,-0.69874,-2.50085,mittel,-0.55559,1803.0,0.0,32.29814,2.48963,80.95238,52.46811,36.21742,-0.35957,68.45329,5.939,0.0,50.78901,34.68697,1.29355,-8.3939
01100207,Leipziger Straße,8312.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",8312.0,2.76734,6.641,18.89503,0.74055,-0.55794,-1.46493,8312.0,-0.74874,-0.60472,-0.33897,-1.69243,mittel,-0.37575,8312.0,2.10896,19.93769,4.63619,79.70874,51.62416,33.85467,0.55354,68.05259,10.67416,0.0,54.20986,30.87049,-0.07675,-4.51997
01100308,Charitéviertel,6967.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil",6967.0,1.37665,2.61232,4.71807,0.42094,-0.0759300000000001,0.45048,6967.0,-1.22114,-1.17432,-1.19021,-3.58567,hoch,-0.72253,6967.0,0.87527,23.75,3.38462,54.27666,44.16535,30.90283,0.36373,60.14863,3.88727,0.30142,50.51656,37.97037,-0.61408,-11.17374
01100309,Oranienburger Straße,12352.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",12352.0,2.93421,6.33905,12.83743,0.90508,0.48477,1.73299,12352.0,-0.69206,-0.64741,-0.70269,-2.04216,mittel,-0.19724,12352.0,1.51659,32.90371,5.65844,52.92339,40.96503,26.78109,-0.49381,63.57316,10.523,0.0,63.34014,27.40508,-1.5059,-3.79202
01100310,Alexanderplatzviertel,9903.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",9903.0,3.87555,8.23993,20.45908,0.77488,0.0591099999999987,0.500879999999999,9903.0,-0.3723,-0.37865,-0.24506,-0.99601,mittel,-0.33851,9903.0,1.97775,28.38196,7.75623,70.23173,48.92457,35.03989,0.10639,68.5879,10.85986,0.0,57.06911,37.77713,-0.61443,-0.48062
01100311,Karl-Marx-Allee,9013.0,2.0,mittel,-,negativ,2-,"Status mittel , Dynamik negativ",9013.0,6.76912,12.84811,38.72679,2.3115,-0.3239,1.31317,9013.0,0.6106,0.27289,0.85181,1.7353,mittel,1.32871,9013.0,3.6855,36.4676,3.76656,77.85336,45.86708,29.46855,3.35281,74.96235,26.91706,0.0,67.17859,24.15417,1.64735,2.01226
01100312,Heine-Viertel West,9422.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",9422.0,3.08821,5.45532,13.89699,0.68764,-0.561909999999999,-3.10301,9422.0,-0.63975,-0.77236,-0.63907,-2.05118,mittel,-0.43316,9422.0,2.16138,22.17742,2.59179,69.43958,44.44916,29.34621,3.1179,75.18987,8.54893,0.0,54.47236,31.61474,6.83385,12.29195
01100313,Heine-Viertel Ost,10779.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",10779.0,2.85963,6.2529,16.22074,0.71247,-0.19567,0.52047,10779.0,-0.7174,-0.65959,-0.49955,-1.87654,mittel,-0.40622,10779.0,1.2285,25.17647,2.46753,62.21889,46.08034,31.05112,1.18405,70.15238,9.72607,0.0,55.74123,31.952,0.30958,-4.13954
01100414,Nordbahnhof,5178.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",5178.0,1.88818,4.21012,9.42285,0.6424,-0.503410000000001,1.08952,5178.0,-1.04738,-0.94841,-0.90772,-2.90351,mittel,-0.48224,5178.0,1.43266,13.9576,6.77291,68.16193,53.82387,40.0927,-0.90689,69.26782,6.40274,0.0,32.30414,38.10362,0.40868,-1.99913
01100415,Invalidenstraße,12593.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",12593.0,2.05154,4.47074,7.09894,0.53161,-0.0893699999999997,-0.32627,12593.0,-0.99189,-0.91156,-1.04726,-2.95071,mittel,-0.60245,12593.0,1.39535,29.24107,6.86275,47.00438,40.03812,26.69737,-1.31583,59.99405,6.68907,0.0,61.08329,31.91072,-1.87593,-7.21554
01100416,Arkonaplatz,13443.0,1.0,hoch,+/-,stabil,1+/-,"Status hoch , Dynamik stabil",13443.0,2.08215,3.56319,5.6926,0.90437,0.27994,1.97845,13443.0,-0.98149,-1.03988,-1.1317,-3.15307,hoch,-0.19801,13443.0,1.2848,28.3105,5.46164,48.76385,40.41509,26.92107,-0.75207,56.9218,5.60563,0.0,57.61144,30.30952,-1.72266,-6.31893
01200517,Huttenkiez,3725.0,4.0,sehr niedrig,+,positiv,4+,"Status sehr niedrig , Dynamik positiv",3725.0,8.45687,21.90604,58.70021,1.57943,-3.55753,-8.48041000000001,3725.0,1.18391,1.55357,2.05109,4.78857,sehr niedrig,0.53442,3725.0,4.94118,31.41892,25.35714,84.4523,57.63758,39.54362,0.47337,61.30346,33.95818,100.0,56.5648,33.32549,-2.02857,-6.7182
01200518,Beusselkiez,6866.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil",6866.0,7.92151,19.37081,51.0828,1.726,-2.6593,-1.83497,6866.0,1.00205,1.19512,1.59371,3.79088,niedrig,0.69345,6866.0,5.2356,31.62055,23.91681,84.65724,62.8896,43.50422,0.56191,64.88115,25.88278,100.0,51.221,41.12614,0.8449,-6.03391
01200519,Emdener Straße,9103.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",9103.0,7.66146,16.34626,41.85149,2.2142,-3.38338,-7.10401,9103.0,0.91372,0.76749,1.03943,2.72064,mittel,1.22314,9103.0,5.14286,31.19658,15.97415,71.16317,53.75151,36.06503,-0.01479,65.27566,27.0068,99.43975,57.2771,33.4158,-1.88901,-10.7226
01200520,Bremer Straße,9433.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",9433.0,6.11907,13.57999,31.25573,1.60929,-1.83491,-1.86115,9433.0,0.38979,0.37637,0.40321,1.16937,mittel,0.56682,9433.0,4.772,28.51511,16.0221,67.11676,48.0229,29.47101,-0.11565,66.43885,23.51553,100.0,61.56066,28.7106,-1.31963,-6.24351
01200521,Zwinglistraße,5235.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil",5235.0,7.64647,20.66858,51.39912,2.11354,-1.55774,-0.281549999999996,5235.0,0.90862,1.37861,1.61271,3.89994,niedrig,1.11392,5235.0,5.19288,28.57143,22.72727,80.81683,58.96848,36.67622,-1.455,59.73958,31.20045,100.0,59.79526,31.73974,-2.06079,-5.96503
01200522,Elberfelder Straße,11333.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",11333.0,3.64283,7.55316,13.63272,0.59354,-1.35149,-2.90209,11333.0,-0.45135,-0.47575,-0.65494,-1.58204,mittel,-0.53526,11333.0,2.14753,23.66738,7.70823,51.62162,35.60399,20.00353,-0.38873,63.47596,15.64327,1.62358,68.22284,22.33375,-0.54096,-4.15362
01200623,Stephankiez,10825.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",10825.0,5.70825,13.69053,28.66521,1.7046,-1.96196,-5.39494,10825.0,0.25024,0.392,0.24767,0.88991,mittel,0.67023,10825.0,4.88627,23.71245,16.06383,68.50444,50.49423,30.66975,-0.69871,64.75904,23.41463,99.97229,59.26106,30.97687,-1.54846,-4.88519
01200624,Heidestraße,5178.0,2.0,mittel,+,positiv,2+,"Status mittel , Dynamik positiv",5178.0,3.53391,9.34724,21.7033,-1.53666,-7.36619,-11.63003,5178.0,-0.48835,-0.22209,-0.17035,-0.88079,mittel,-2.8465,5178.0,3.53635,15.83012,14.12214,84.0796,67.32329,45.19119,10.20121,74.65812,9.06667,55.02124,22.71024,72.65453,42.94276,33.44061
01200625,Lübecker Straße,6976.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",6976.0,9.47838,22.19037,47.30769,2.72571,-3.10964,-2.73629,6976.0,1.5309,1.59377,1.36704,4.49171,sehr niedrig,1.77812,6976.0,7.60095,28.35821,19.42517,81.78105,59.76204,34.03096,0.34467,70.34541,35.94739,100.0,67.36206,24.66955,-0.79376,-5.07249
01200626,Thomasiusstraße,5935.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",5935.0,3.40485,8.34035,16.69107,1.03683,-0.784089999999999,2.85648,5935.0,-0.53219,-0.36445,-0.47131,-1.36795,mittel,-0.05429,5935.0,2.04082,22.82158,10.06224,58.23755,42.89806,25.72873,-2.719,61.82056,12.08244,0.52233,63.1904,34.76949,-2.54809,-1.30388
01200627,Zillesiedlung,3280.0,4.0,sehr niedrig,-,negativ,4-,"Status sehr niedrig , Dynamik negativ",3280.0,11.22497,25.73171,46.27575,4.57029,-0.156610000000001,8.83733,3280.0,2.12419,2.09448,1.30508,5.52375,sehr niedrig,3.77947,3280.0,6.98254,30.30303,21.31474,85.71429,64.78659,33.23171,-0.42013,80.82569,42.9003,100.0,68.09415,19.86441,-1.4092,2.28792
01200628,Lüneburger Straße,3132.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",3132.0,2.97114,8.42912,13.39286,-0.42323,-0.60505,-0.93379,3132.0,-0.67952,-0.3519,-0.66934,-1.70076,mittel,-1.63844,3132.0,1.08696,28.31541,14.31818,67.15686,42.40102,22.76501,0.55738,60.86957,10.96296,0.0,63.68159,27.45932,1.18216,0.35964
01200629,Hansaviertel,5807.0,2.0,mittel,+/-,stabil,2+/-,"Status mittel , Dynamik stabil",5807.0,2.6405,6.73325,14.08776,0.31942,-0.54452,-0.563400000000001,5807.0,-0.79183,-0.59167,-0.62762,-2.01112,mittel,-0.83267,5807.0,1.19363,24.19825,9.39005,60.11673,47.89048,34.06234,0.22072,64.35794,6.79245,0.0,60.57437,29.80299,0.3309,-7.02303
01300730,Drontheimer Straße,7957.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",7957.0,12.874,29.88564,65.31184,4.07387,-3.90597,-2.36903,7957.0,2.68434,2.68179,2.44808,7.81421,sehr niedrig,3.24086,7957.0,9.67742,32.09877,18.94273,88.7433,71.47166,46.70102,-1.11616,65.74273,42.54015,99.54757,60.92016,34.37878,-2.80231,0.0112
01300731,Koloniestraße,8545.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",8545.0,10.63864,26.28438,61.98347,2.7854,-3.73843,-1.45426,8545.0,1.92502,2.17262,2.24823,6.34587,sehr niedrig,1.84288,8545.0,7.3694,31.71642,18.94094,81.40283,58.26799,37.77648,-0.7754,64.86989,41.95594,100.0,62.10981,29.15101,-0.88554,-3.41276
01300732,Soldiner Straße,9879.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",9879.0,10.81823,27.62425,61.62034,2.76091,-3.0859,-5.26549,9879.0,1.98603,2.36206,2.22643,6.57452,sehr niedrig,1.81631,9879.0,7.16535,32.98775,18.91593,83.85312,62.24314,39.4878,-0.588,67.64932,46.05227,99.95951,63.18699,25.10912,-1.43463,-6.88474
01300733,Gesundbrunnen,11665.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",11665.0,9.30286,23.87484,55.9633,2.94275,-1.63291,0.694479999999999,11665.0,1.47128,1.83194,1.88676,5.18998,sehr niedrig,2.01361,11665.0,6.28723,27.86294,14.85909,83.59148,61.92885,37.88255,-1.06298,69.72166,39.42999,99.94856,64.48379,26.20487,-2.14293,-5.043
01300834,Brunnenstraße,14193.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",14193.0,10.46059,27.34447,52.3088,3.39883,-2.93788,-3.06615,14193.0,1.86454,2.3225,1.66733,5.85437,sehr niedrig,2.50845,14193.0,7.77526,24.53842,19.62447,86.53074,66.35665,30.31776,-0.52497,80.40902,43.70466,99.23906,67.41996,19.08611,0.38299,1.31068
01300835,Humboldthain Süd,10443.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil",10443.0,7.65557,20.09001,44.77887,2.20995,-1.93861,-1.80073,10443.0,0.91172,1.29681,1.2152,3.42373,niedrig,1.21853,10443.0,3.39233,29.18707,11.37972,83.8659,59.59973,30.2212,1.54409,75.19011,29.7193,100.0,67.85136,24.37092,1.21098,-0.93432
01300836,Humboldthain Nordwest,14657.0,4.0,sehr niedrig,+/-,stabil,4+/-,"Status sehr niedrig , Dynamik stabil",14657.0,10.68295,26.0831,61.47578,3.05583,-2.88721,-0.428980000000003,14657.0,1.94007,2.14416,2.21775,6.30198,sehr niedrig,2.1363,14657.0,6.69272,28.2167,17.94688,86.37048,64.58348,39.92632,-0.43054,70.42037,40.42082,99.31773,60.75977,31.32398,-0.40535,-3.96793
01400937,Afrikanische Straße,10804.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil",10804.0,8.06597,17.39171,42.90008,1.92969,-2.28131,-5.28805,10804.0,1.05112,0.9153,1.10239,3.06881,niedrig,0.91445,10804.0,4.15486,36.58009,12.38318,71.95523,48.24139,28.98001,0.42415,64.38837,31.23028,100.0,65.53464,23.05196,-0.70666,-6.92151
01400938,Kameruner Straße,9725.0,3.0,niedrig,+/-,stabil,3+/-,"Status niedrig , Dynamik stabil",9725.0,7.75226,17.52185,46.3353,2.22322,-1.86295,-3.70538000000001,9725.0,0.94456,0.9337,1.30865,3.18691,niedrig,1.23293,9725.0,6.17284,28.13688,12.4183,75.23001,52.6581,34.25193,-0.63272,60.70249,30.21536,100.0,61.87756,30.31628,-1.67745,-7.80525
